LRD,Region,Rano Base Code,Administrative Status,Site Type,Cabin Id,DC Battery Name,Is the Battery visible,If not visible,Battery Brand,Battery Brand Others,Battery Model,Battery Model Others,Battery Capacity (Ah),Battery Voltage (Volt),Total Current Load,Total bank (Quantity),Number of Battery Cell/ Quantity,Battery Technology,Battery Hardening (Enhance Safety Request),Last Installation Date (DD/MM/YYYY),Battery Protection,Battery Cable Size,Battery Cable Type,Warranty End Date (DD/MM/YYYY),Battery Protection Capacity,Lithium battery alarm (4+7),Incomplete Parameter,Incomplete LRD
LRD14939,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,47.8,2,8,VRLA,Battery Concrete Bar,,,,1/11/2019 0:00,,,,,
LRD14943,EASTERN,BASE27,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,51.2,3,12,VRLA,Battery Concrete Bar,,,,06/17/19 00:00,,,,,
LRD14947,CENTRAL,BASE12,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TE100F,,100,12 volt,65,2,8,VRLA,T5 Metal Plate,,,,1/10/2018 0:00,,,,,
LRD14948,CENTRAL,BASE1,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,40,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD14949,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,No,,,,,,0,,,0,0,,,,,,,,,,BATTERY_BRAND,
LRD14950,SABAH,BASE33,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD14951,EASTERN,BASE5,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,47.1,1,4,VRLA,T5 Metal Plate,,,,12/6/2018 0:00,,,,,
LRD14953,SARAWAK,BASE8,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD14955,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD14956,CENTRAL,BASE12,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD14980,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,84.1,3,12,VRLA,Battery Concrete Bar,,,,03/14/19 00:00,,,,,
LRD14982,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,62.6,2,8,VRLA,Battery Concrete Bar,,,,01/28/18 00:00,,,,,
LRD14983,SOUTHERN,BASE6,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD14986,SOUTHERN,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,95,1,4,VRLA,Battery Concrete Bar,,,,06/13/19 00:00,,,,,
LRD14995,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,No,battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15001,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TE100F,,100,12 volt,55.2,1,4,VRLA,T5 Metal Plate,,,,9/7/2017 0:00,,,,,
LRD15004,CENTRAL,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,76.3,1,4,VRLA,Battery Concrete Bar,,,,03/27/18 00:00,,,,,
LRD15006,SOUTHERN,BASE6,Active,Rooftop,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,67,2,8,VRLA,Battery Concrete Bar,,,,07/23/16 00:00,,,,,
LRD15010,CENTRAL,BASE32,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15011,SABAH,BASE29,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,50,4,16,VRLA,Battery Concrete Bar,,,,09/13/17 00:00,,,,,
LRD15014,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,74.7,3,12,VRLA,Battery Concrete Bar,,,,04/25/20 00:00,,,,,
LRD15016,NORTHERN,BASE13,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT155S,,155,12 volt,75,2,8,VRLA,Battery Concrete Bar,,,,12/21/16 00:00,,,,,
LRD15021,CENTRAL,BASE12,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,139.6,3,12,VRLA,Battery Concrete Bar,,,,05/15/19 00:00,,,,,
LRD15022,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,2,8,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15023,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15027,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15029,SABAH,BASE29,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15030,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15031,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,97,1,4,VRLA,Battery Concrete Bar,,,,07/16/19 00:00,,,,,
LRD15032,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,78.1,2,8,VRLA,Battery Concrete Bar,,,,10/24/17 00:00,,,,,
LRD15034,SABAH,BASE17,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Hoppecke,,NET.POWER 12V150,,150,12 volt,59.1,1,4,VRLA,Others,,,,,,,,,
LRD15035,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,9.3,1,4,VRLA,T5 Metal Plate,,,,02/23/18 00:00,,,,,
LRD15047,CENTRAL,BASE12,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,78,1,4,VRLA,T5 Metal Plate,,,,11/11/2016 0:00,,,,,
LRD15048,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,98,1,4,VRLA,Battery Concrete Bar,,,,2/2/2017 0:00,,,,,
LRD15053,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15055,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,,,Huawei,,ESM-48100A1,,100,48 volt,35.9,1,1,Lithium,Battery Concrete Bar,,,,6/1/2019 0:00,,,,,
LRD15056,EASTERN,BASE5,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,46,2,8,VRLA,T5 Metal Plate,,,,02/23/19 00:00,,,,,
LRD15058,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15063,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,No,battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15069,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,ACME F 2V400AH Eosg400,,400,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15075,NORTHERN,BASE13,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15070,SOUTHERN,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,49.4,2,8,VRLA,Battery Concrete Bar,,,,10/19/17 00:00,,,,,
LRD15072,CENTRAL,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,138.6,4,16,VRLA,Battery Concrete Bar,,,,2/12/2019 0:00,,,,,
LRD15073,SOUTHERN,BASE6,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,92.1,2,8,VRLA,Battery Concrete Bar,,,,7/9/2019 0:00,,,,,
LRD15079,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,82.9,2,8,VRLA,Battery Concrete Bar,,,,10/20/16 00:00,,,,,
LRD15080,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,07/25/19 00:00,,,,,
LRD15088,SOUTHERN,BASE4,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Supersave,,Others,12TF150F,150,12 volt,125,3,12,VRLA,Battery Concrete Bar,,,,04/16/20 00:00,,,,,
LRD15443,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,68.2,2,8,VRLA,Battery Concrete Bar,,,,02/16/17 00:00,,,,,
LRD15445,NORTHERN,BASE2,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Huawei,,ESM-48150B1,,150,48 volt,63,1,1,Lithium,T5 Metal Plate,,,,05/24/16 00:00,,,,,
LRD15446,SARAWAK,BASE8,Active,Rooftop,Room Reno-01,Battery-01,Yes,,Narada,,GFMJ-1000A,,1000,2 volt,37.2,1,24,VRLA,Others,,,,,,,,,
LRD15447,NORTHERN,BASE2,Active,Rooftop,Cabin-01,Battery-01,,,Sonnenschein,,Others,6 OPzV600,600,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15448,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,10/31/19 00:00,,,,,
LRD15451,SABAH,BASE25,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,44.8,2,8,VRLA,Others,,,,,,,,,
LRD15456,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Tudor,,,,1000,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15468,NORTHERN,BASE13,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15470,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Others,,,,03/18/19 00:00,,,,,
LRD15472,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT155S,,155,12 volt,37.2,1,4,VRLA,T5 Metal Plate,,,,12/22/16 00:00,,,,,
LRD15477,CENTRAL,BASE1,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,199.86,2,8,VRLA,Battery Concrete Bar,,,,02/17/20 00:00,,,,,
LRD15478,CENTRAL,BASE9,Active,Rooftop,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15481,SABAH,BASE25,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15482,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,82.3,1,4,VRLA,Battery Concrete Bar,,,,10/31/19 00:00,,,,,
LRD15484,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,40,2,8,VRLA,Battery Concrete Bar,,,,11/7/2019 0:00,,,,,
LRD15485,CENTRAL,BASE1,Active,Inbuilding,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,,1,24,VRLA,Battery Hardening,,,,,,,,,
LRD15489,SARAWAK,BASE11,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15490,SARAWAK,BASE8,Active,Vacant Land,Cabin-01,Battery-01,,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,2,8,VRLA,,,,,,,,,,
LRD15491,CENTRAL,BASE1,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15493,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,,,Huawei,,ESM-48100A1,,100,48 volt,81.31,1,1,Lithium,Battery Concrete Bar,,,,6/1/2019 0:00,,,,,
LRD15498,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15508,NORTHERN,BASE16,Active,Rooftop,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TD150F,,150,12 volt,75,1,4,VRLA,,,,,04/21/21 00:00,,,,,
LRD15509,CENTRAL,BASE1,Active,Inbuilding,Outdoor-01,Battery-01,Yes,,Narada,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15512,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Enersys,,12TD150F,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD15514,SABAH,BASE36,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,35.4,1,4,VRLA,Battery Concrete Bar,,,,11/12/2018 0:00,,,,,
LRD15517,SOUTHERN,BASE34,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,41,1,4,VRLA,Battery Concrete Bar,,,,08/18/17 00:00,,,,,
LRD15518,SOUTHERN,BASE19,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15519,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,63.6,2,8,VRLA,Battery Concrete Bar,,,,10/20/17 00:00,,,,,
LRD15520,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15521,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,56,1,1,Lithium,T5 Metal Plate,,,,12/1/2019 0:00,,,,,
LRD15522,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,70,4,16,VRLA,Battery Concrete Bar,,,,03/20/19 00:00,,,,,
LRD15524,CENTRAL,BASE9,Active,Inbuilding,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,13.8,1,4,VRLA,,,,,7/4/2019 0:00,,,,,
LRD15527,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,52,3,12,VRLA,Battery Concrete Bar,,,,03/28/19 00:00,,,,,
LRD15529,EASTERN,BASE27,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,62.3,1,4,VRLA,Battery Concrete Bar,,,,12/14/16 00:00,,,,,
LRD15533,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,30.3,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15534,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15538,EASTERN,BASE5,Active,Vacant Land,Outdoor-01,Battery-01,No,Battery welded to rack,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,Battery Hardening,,,,,,,,,
LRD15542,EASTERN,BASE27,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15543,CENTRAL,BASE1,Active,Rooftop,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15546,EASTERN,BASE24,Active,Rooftop,Cabin-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15550,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150UP PLUS,,150,12 volt,63,3,12,VRLA,Others,,,,,,,,,
LRD15553,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,,,MSB,,MSG12-150UP PLUS,,150,12 volt,76.1,2,8,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15554,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,,,Sacredsun,,FTA12-150,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15555,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15556,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,45.4,1,4,VRLA,Battery Concrete Bar,,,,01/16/18 00:00,,,,,
LRD15565,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,86.5,1,4,VRLA,Battery Concrete Bar,,,,10/30/19 00:00,,,,,
LRD15557,NORTHERN,BASE2,Active,Rooftop,Cabin-01,Battery-01,,,Tudor,,SAFETY OPzV600,,600,2 volt,,1,24,VRLA,Battery Hardening,,,,,,,,,
LRD15562,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,,,MSB,,MSG12-150UP PLUS,,150,12 volt,91,2,8,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15563,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,60,1,4,VRLA,Battery Concrete Bar,,,,2/6/2018 0:00,,,,,
LRD15566,SARAWAK,BASE8,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,54,2,8,VRLA,T5 Metal Plate,,,,01/27/18 00:00,,,,,
LRD15567,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,,,Huawei,,ESM-48150B1,,150,48 volt,27,1,1,Lithium,,,,,09/14/20 00:00,,,,,
LRD15568,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,,,MSB,,MSG12-100TE,,100,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15572,EASTERN,BASE30,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,55,2,8,VRLA,,,,,8/4/2021 0:00,,,,,
LRD15573,EASTERN,BASE5,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,89,2,8,VRLA,Battery Concrete Bar,,,,06/28/18 00:00,,,,,
LRD15575,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,89.79,2,8,VRLA,Battery Concrete Bar,,,,09/17/19 00:00,,,,,
LRD15576,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15578,EASTERN,BASE10,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,61.1,2,8,VRLA,Battery Hardening,,,,06/24/21 00:00,,,,,
LRD15580,CENTRAL,BASE9,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT100S,,100,12 volt,25.5,2,8,VRLA,T5 Metal Plate,,,,2/11/2017 0:00,,,,,
LRD15581,SOUTHERN,BASE19,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,65,2,8,VRLA,Battery Concrete Bar,,,,9/10/2017 0:00,,,,,
LRD15583,EASTERN,BASE5,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Enersys,,Supersafe 12TE150F,,150,12 volt,23,1,4,VRLA,T5 Metal Plate,,,,6/1/2018 0:00,,,,,
LRD15584,SABAH,BASE36,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,T5 Metal Plate,,,,,,,,,
LRD15597,CENTRAL,BASE9,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,101.51,2,8,VRLA,Battery Concrete Bar,,,,02/28/19 00:00,,,,,
LRD15599,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,GFMJ-400A,,400,2 volt,,1,4,VRLA,No Hardening,,,,,,,,,
LRD15601,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,,,MSB,,MSG12-150UP PLUS,,150,12 volt,,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15602,NORTHERN,BASE16,Active,Vacant Land,Cabin-01,Battery-01,,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,70,1,24,VRLA,Others,,,,,,,,,
LRD15603,CENTRAL,BASE12,Active,Rooftop,Cabin-01,Battery-01,,,Tudor,,,,150,12 volt,77,1,4,VRLA,,,,,,,,,,
LRD15607,CENTRAL,BASE1,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15608,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,GFMJ-600A,,600,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15611,SOUTHERN,BASE19,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,58,1,4,VRLA,Battery Hardening,,,,4/1/2021 0:00,,,,,
LRD15615,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,78.1,2,8,VRLA,Battery Concrete Bar,,,,10/20/17 00:00,,,,,
LRD15617,NORTHERN,BASE16,Active,Rooftop,Cabin-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,56.4,1,4,VRLA,,,,,05/26/21 00:00,,,,,
LRD15619,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,GFMJ-400A,,400,2 volt,33.5,1,24,VRLA,Others,,,,,,,,,
LRD15620,SOUTHERN,BASE14,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,GFMJ-600A,,600,2 volt,,1,24,VRLA,,,,,,,,,,
LRD15621,CENTRAL,BASE12,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15623,SOUTHERN,BASE14,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,,3,12,VRLA,T5 Metal Plate,,,,,,,,,
LRD15625,CENTRAL,BASE9,Active,Inbuilding,Outdoor-01,Battery-01,,,Narada,,,,,,,,,,,,,,,,,,BATTERY_CAPACITY,
LRD15627,SABAH,BASE23,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Hoppecke,,NET.POWER 12V150,,150,12 volt,,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15635,SOUTHERN,BASE20,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-150TE,,150,12 volt,40,4,16,VRLA,Battery Concrete Bar,,,,6/9/2016 0:00,,,,,
LRD15636,EASTERN,BASE24,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,139,5,20,VRLA,Battery Concrete Bar,,,,01/27/19 00:00,,,,,
LRD15637,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,,1,4,VRLA,,,,,,,,,,
LRD15639,EASTERN,BASE10,Active,Vacant Land,Outdoor-01,Battery-01,,,Huawei,,ESM-48100A1,,100,48 volt,53,1,1,Lithium,T5 Metal Plate,,,,11/1/2019 0:00,,,,,
LRD15641,SOUTHERN,BASE4,Active,Vacant Land,Cabin-01,Battery-01,,,Narada,,GFMJ-600A,,600,2 volt,,1,4,VRLA,,,,,,,,,,
LRD15645,EASTERN,BASE24,Active,Vacant Land,Outdoor-01,Battery-01,,,Enersys,,12TD150F,,150,12 volt,61,2,8,VRLA,T5 Metal Plate,,,,4/9/2019 0:00,,,,,
LRD15650,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Tudor,,SAFETY 10 OPzV1000,,1000,2 volt,40.7,1,24,VRLA,Others,,,,,,,,,
LRD15654,SOUTHERN,BASE14,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Narada,,12NDT150S,,150,12 volt,76.2,2,8,VRLA,Battery Concrete Bar,,,,11/19/18 00:00,,,,,
LRD15655,NORTHERN,BASE7,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15656,CENTRAL,BASE32,Active,Rooftop,Cabin-01,Battery-01,Yes,,Narada,,,,100,12 volt,63,1,24,VRLA,,,,,,,,,,
LRD15657,SARAWAK,BASE11,Active,Vacant Land,Cabin-01,Battery-01,Yes,,Hoppecke,,NET.POWER 12V150,,150,12 volt,24,1,4,VRLA,Battery Concrete Bar,,,,,,,,,
LRD15659,NORTHERN,BASE13,Active,Rooftop,Cabin-01,Battery-01,Yes,,Enersys,,12TD150F,,150,12 volt,74,3,12,VRLA,Battery Concrete Bar,,,,12/20/19 00:00,,,,,
LRD15662,SABAH,BASE17,Active,Vacant Land,Outdoor-01,Battery-01,,,Narada,,12NDT150S,,150,12 volt,22.3,1,4,VRLA,,,,,,,,,,
LRD15663,NORTHERN,BASE7,Active,Vacant Land,Cabin-01,Battery-01,Yes,,MSB,,MSG12-100TE,,100,12 volt,91.2,2,8,VRLA,Battery Concrete Bar,,,,5/1/2016 0:00,,,,,
